timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1200,9.3829,1.9178,1.9944,-0.126,0.2062,-0.206
1220,9.4715,1.8316,1.9704,-0.1183,0.2233,-0.1463
1240,9.3541,1.4413,2.2003,-0.0418,0.2086,-0.1492
1260,9.4188,1.1995,2.2553,-0.0131,0.2563,-0.0557
1280,9.9958,1.2929,2.5043,-0.0397,0.2507,0.0648
1300,10.1083,1.154,2.6528,-0.0333,0.1138,0.1452
1320,9.7157,1.0942,2.4325,0.0149,-0.0035,0.1777
1340,9.3087,1.0989,2.2003,0.0176,0.0426,0.1903
1360,9.5002,1.1301,2.375,0.0397,0.0831,0.125
1380,9.8258,1.3503,2.4134,-0.0368,0.1458,0.2022
1400,9.8593,1.7358,2.5714,-0.1098,0.0943,0.2832
1420,9.3589,1.8459,2.3439,-0.0885,0.0525,0.1847
1440,9.3925,2.162,2.0518,-0.0536,0.0946,0.1279
1460,9.414,1.8842,1.913,0.0115,0.0917,0.0629
1480,9.5792,1.2115,1.9776,0.0314,0.1415,-0.0608
1500,10.137,0.8475,2.5211,-0.0306,0.1492,-0.0312
1520,10.5297,0.7685,2.8994,-0.077,0.0237,0.0043
1540,10.5417,0.8811,2.7773,-0.1607,-0.1124,0.1132
1560,10.1107,1.1325,2.5594,-0.1929,-0.1769,0.1322
1580,9.845,1.3455,2.5019,-0.1391,-0.1564,0.0512
1600,9.7372,1.1205,2.5187,-0.1186,-0.1458,0.0394
1620,9.2033,1.2881,2.1261,-0.1311,-0.0602,0.0
1640,9.6007,1.5395,2.2386,-0.0983,0.0719,0.0109
1660,9.7157,1.221,2.3367,-0.1146,0.1047,0.085
1680,9.4068,1.1277,2.1284,-0.1223,0.1215,-0.0149
1700,9.3206,2.2194,2.3439,-0.045,0.2164,-0.0714
1720,9.73,0.4645,2.0399,0.0093,0.2667,-0.0413
1740,9.019,0.7638,2.6217,-0.215,0.3134,-0.0245
1760,8.2648,2.2146,2.4301,-0.0717,0.3555,-0.0703
1780,8.442,1.3216,2.2769,0.0677,0.4906,-0.2721
1800,10.5896,0.8547,2.4277,-0.0077,0.3786,-0.2324
1820,9.6175,1.5658,1.5634,-0.0797,0.1815,-0.2318
1840,9.1818,1.1564,1.8747,-0.1545,-0.0544,-0.1964
1860,8.5066,1.0487,1.9106,-0.137,-0.1066,-0.0983
1880,8.7532,0.996,2.2697,-0.2132,-0.0541,0.0208
1900,9.0453,1.8052,2.9353,-0.2491,-0.0381,0.1375
1920,9.3565,1.3623,3.225,-0.1108,-0.0829,0.1591
1940,10.2041,0.9337,3.1867,-0.1519,-0.1961,0.2092
1960,10.4004,1.2881,3.0358,-0.2867,-0.3861,0.3206
1980,9.9695,1.5179,2.1931,-0.2912,-0.5598,0.2899
